"Survey","Quarter","Country","Ship","Gear","SweepLngt","GearExp","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","SpecVal","Sex","TotalNo","CatIdentifier","NoMeas","SubFactor","SubWgt","CatCatchWgt","LngtCode","LngtClass","HLNoAtLngt","Valid_Aphia","scientificname"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"34F401",1,1988,"T",160901,1,"U",1,1,NA,1,NA,NA,"1",30,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F276",76,1989,"T",160901,1,"U",1,1,NA,1,NA,NA,"1",57,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F175",75,1989,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",19,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F175",75,1989,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",21,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F272",72,1989,"T",160901,1,"U",1,1,NA,1,NA,NA,"1",56,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F173",73,1989,"T",160901,1,"U",5,1,NA,1,NA,NA,"1",39,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F173",73,1989,"T",160901,1,"U",5,1,NA,1,NA,NA,"1",48,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F173",73,1989,"T",160901,1,"U",5,1,NA,1,NA,NA,"1",50,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F173",73,1989,"T",160901,1,"U",5,1,NA,1,NA,NA,"1",51,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F173",73,1989,"T",160901,1,"U",5,1,NA,1,NA,NA,"1",54,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",12,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",28,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",30,3,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",36,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",38,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",39,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",47,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F174",74,1989,"T",160901,1,"U",10,1,NA,1,NA,NA,"1",51,1,105883,"Raja clavata"
