LngtClass,Year
30,01/01/1988
57,01/01/1989
19,01/01/1989
21,01/01/1989
56,01/01/1989
39,01/01/1989
48,01/01/1989
50,01/01/1989
51,01/01/1989
54,01/01/1989
12,01/01/1989
28,01/01/1989
30,01/01/1989
36,01/01/1989
38,01/01/1989
39,01/01/1989
47,01/01/1989
51,01/01/1989
4400,01/01/1990
4500,01/01/1990
3900,01/01/1990
33,01/01/1990
44,01/01/1990
47,01/01/1990
50,01/01/1990
56,01/01/1990
47,01/01/1990
49,01/01/1990
2600,01/01/1990
1400,01/01/1990
2700,01/01/1990
2800,01/01/1990
1300,01/01/1990
4100,01/01/1990
4200,01/01/1990
2400,01/01/1990
3600,01/01/1990
4000,01/01/1990
4400,01/01/1990
6300,01/01/1990
3900,01/01/1990
4300,01/01/1990
5800,01/01/1990
7800,01/01/1990
7700,01/01/1990
8600,01/01/1990
3800,01/01/1990
3600,01/01/1990
1900,01/01/1990
2700,01/01/1990
3200,01/01/1990
3300,01/01/1990
3400,01/01/1990
2200,01/01/1990
3100,01/01/1990
3500,01/01/1990
7800,01/01/1990
3700,01/01/1990
5000,01/01/1990
6900,01/01/1990
4100,01/01/1990
4300,01/01/1990
4700,01/01/1990
4900,01/01/1990
2800,01/01/1990
3100,01/01/1990
4000,01/01/1990
3300,01/01/1990
3800,01/01/1990
4000,01/01/1990
3900,01/01/1990
4200,01/01/1990
2500,01/01/1990
2600,01/01/1990
2800,01/01/1990
2900,01/01/1990
3500,01/01/1990
2400,01/01/1990
2500,01/01/1990
3000,01/01/1990
3400,01/01/1990
3800,01/01/1990
5000,01/01/1990
4500,01/01/1990
2700,01/01/1990
2500,01/01/1990
4100,01/01/1990
4300,01/01/1990
6100,01/01/1990
7500,01/01/1990
4900,01/01/1990
2400,01/01/1990
3800,01/01/1990
1200,01/01/1990
1300,01/01/1990
1400,01/01/1990
3000,01/01/1990
3100,01/01/1990
3200,01/01/1990
3800,01/01/1990
4900,01/01/1990
5900,01/01/1990
55,01/01/1990
4200,01/01/1990
7100,01/01/1990
2000,01/01/1990
2200,01/01/1990
3000,01/01/1990
3100,01/01/1990
3600,01/01/1990
2200,01/01/1990
3100,01/01/1990
3400,01/01/1990
4400,01/01/1990
33,01/01/1990
36,01/01/1990
8900,01/01/1990
2400,01/01/1990
2700,01/01/1990
3700,01/01/1990
3800,01/01/1990
3900,01/01/1990
4000,01/01/1990
4100,01/01/1990
4200,01/01/1990
5100,01/01/1990
5900,01/01/1990
7200,01/01/1990
2500,01/01/1990
